,price
1924,5065.4531
1925,5049.5231
1926,5065.7285
1927,5029.1063
1928,5022.3846
1929,4931.2933
1930,4957.8236
1931,4903.627
1932,4931.6019
1933,4957.2971
1934,4960.729
1935,5014.3211
1936,4995.7622
1937,5034.9831
1938,4977.2994
1939,5006.0051
1940,4985.7695
1941,5042.9432
1942,5071.449
1943,5037.9848
1944,5122.4799
1945,5212.9313
1946,5245.8355
1947,5386.5144
1948,5428.3944
1949,5526.2876
1950,5504.2358
1951,5419.4996
1952,5609.2637
1953,5556.2125
1954,5471.391
1955,5438.1618
1956,5525.969
1957,5439.9111
1958,5492.9587
1959,5562.379
1960,5564.1237
1961,5600.9017
1962,5505.7708
1963,5450.3695
1964,5413.9684
1965,5356.8535
1966,5429.7032
1967,5499.2961
1968,5453.9764
1969,5494.7011
1970,5506.1423
1971,5584.165
1972,5709.684
1973,5922.0714
1974,5734.0193
1975,5785.5097
1976,5542.6841
1977,5591.4795
1978,5494.4706
1979,5343.9041
1980,5389.2499
1981,5453.2847
1982,5327.3467
1983,5388.4785
1984,5191.9699
1985,5299.7907
1986,5066.1546
1987,5047.0589
1988,5024.5586
1989,5153.674
1990,5116.1228
1991,5054.4089
1992,5062.7706
1993,5114.5872
1994,5068.5319
1995,5008.3953
1996,5057.0632
1997,4985.4013
1998,4904.0683
1999,4953.9453
2000,5052.2634
2001,5043.0952
2002,5085.9497
2003,5059.9359
2004,5129.8545
2005,5178.6401
2006,5141.6556
2007,5078.2627
2008,5100.0422
2009,5026.9791
2010,4949.8074
2011,4945.6857
2012,4969.9099
2013,4966.8999
2014,4966.409
2015,5065.7757
2016,5055.2398
2017,5114.2799
2018,5088.8263
2019,5156.5941
2020,5076.6415
2021,5073.9728
2022,5128.2795
2023,5156.3557
2024,5098.8006
2025,5073.4554
2026,5001.4371
2027,4956.0794
2028,5003.8171
2029,4992.3519
2030,5007.6286
2031,5115.3063
2032,5190.9345
2033,5173.1666
2034,5167.0546
2035,5199.1285
2036,5138.8149
2037,5165.0361
2038,5326.1169
2039,5311.3726
2040,5338.7278
2041,5318.0825
2042,5320.4745
2043,5348.344
2044,5285.7098
2045,5228.2761
2046,5284.8907
2047,5276.9711
2048,5224.9496
2049,5236.4691
2050,5275.7456
2051,5218.5648
2052,5163.2493
2053,5074.3839
2054,5104.9297
2055,5088.0893
2056,5106.0743
2057,5127.191
2058,5156.5638
2059,5159.8017
2060,5253.6081
2061,5248.5249
2062,5189.3797
2063,5241.2039
2064,5186.6613
2065,5073.7787
2066,5089.778
2067,5052.4204
2068,5149.3095
2069,5063.148
2070,5108.3783
2071,5128.6138
2072,5130.7522
2073,5073.2634
2074,5140.904
2075,5083.7276
2076,5080.2158
2077,5122.7843
2078,5150.3859
2079,5145.4308
2080,5067.3072
2081,4924.2816
2082,4714.2948
2083,4845.7603
2084,4825.7002
2085,4794.8192
2086,4909.2325
2087,4927.7358
2088,4946.1668
2089,4943.0427
2090,4890.2573
2091,4977.8164
2092,5037.0819
2093,4998.0733
2094,4958.7577
2095,4935.9229
2096,4935.0044
2097,4838.4706
2098,4886.564
2099,4817.4937
2100,4777.7347
2101,4844.5925
2102,4890.5211
2103,4892.2044
2104,4794.974
2105,4847.0348
2106,4803.0854
2107,4804.6863
2108,4865.8218
2109,4875.0656
2110,4841.0623
2111,4932.9759
2112,4986.7953
2113,4952.4924
2114,4967.9759
2115,5006.7748
2116,4989.8348
2117,4903.8471
2118,4866.7936
2119,4797.1129
2120,4770.7323
2121,4848.2223
2122,4845.638
2123,4870.8482
2124,4869.0845
2125,4846.0212
2126,4843.9531
2127,4915.7305
2128,4941.2918
2129,4920.6596
2130,4880.144
2131,4934.2575
2132,4896.5578
2133,4922.5137
2134,4869.3907
2135,4926.7727
2136,4914.7378
2137,4934.8698
2138,4940.8962
2139,4983.2383
2140,4949.2269
2141,4882.5858
2142,4861.2667
2143,4878.1276
2144,4886.1849
2145,4835.8093
2146,4841.0912
2147,4858.8999
2148,4841.1527
2149,4858.2525
2150,4832.8006
2151,4814.7655
2152,4902.9289
2153,4894.4119
2154,4880.8964
2155,4883.2481
2156,4871.4216
2157,4832.0595
2158,4895.3875
2159,4905.7587
2160,4914.0266
2161,4917.6055
2162,4886.9516
2163,4820.0053
2164,4857.183
2165,4831.8885
2166,4839.9137
2167,4856.9802
2168,4909.4292
2169,4930.8261
2170,4934.4056
2171,5000.6871
2172,5046.2677
2173,5090.0207
2174,5066.3497
2175,5036.284
2176,5006.6105
2177,5021.3385
2178,4934.9662
2179,4876.5141
2180,4924.5771
2181,4924.2912
2182,4953.0616
2183,4918.1462
2184,4923.6917
2185,4958.6455
2186,4882.1561
2187,4937.463
2188,4957.9835
2189,4907.9347
2190,4842.156
2191,4824.3181
2192,4812.23
2193,4840.0087
2194,4818.8902
2195,4853.0314
2196,4743.9124
2197,4728.7595
2198,4766.7811
2199,4815.8106
2200,4778.2616
2201,4808.7733
2202,4753.9413
2203,4761.95
2204,4697.0991
2205,4708.0989
2206,4641.8137
2207,4638.5754
2208,4626.4365
2209,4608.1491
2210,4657.2107
2211,4617.8741
2212,4579.4202
2213,4553.8112
2214,4619.8458
2215,4616.8955
2216,4604.5669
2217,4646.0522
2218,4601.9184
2219,4582.0064
2220,4592.069
2221,4564.6321
2222,4563.7427
2223,4597.855
2224,4594.017
2225,4595.0249
2226,4513.3636
2227,4462.5174
2228,4361.6424
2229,4280.9789
2230,4326.2035
2231,4231.1961
2232,4248.1526
2233,4125.4866
2234,4053.099
2235,4237.6722
2236,4218.4736
2237,4280.1397
2238,4252.5658
2239,4269.6088
2240,4249.5328
2241,4249.0731
2242,4128.8379
2243,4155.4182
2244,4162.1666
2245,4234.7159
2246,4198.8191
2247,4258.8325
2248,4240.0237
2249,4213.2107
2250,4203.7902
2251,4102.9711
2252,4154.4121
2253,4172.6443
2254,4162.3718
2255,4152.9306
2256,4161.9328
2257,4130.5427
2258,4048.7338
2259,3967.2016
2260,3933.4459
2261,3822.4887
2262,3758.0835
2263,3883.4196
2264,3939.6238
2265,3995.3533
2266,3928.8548
2267,3883.9514
2268,3820.6278
2269,3917.9322
