TRADE_DATE,STOCK_CODE,OPEN,HIGH,LOW,CLOSE,VOL,AMT
20130513,000300,2542.412,2547.602,2516.728,2530.768,54092147.0,55155093.224
20130514,000300,2525.998,2526.145,2479.872,2493.338,54880064.0,56144573.527
20130515,000300,2493.968,2507.43,2491.927,2506.925,44189660.0,47578585.624
20130516,000300,2501.117,2553.058,2487.763,2552.709,70796182.0,76830436.307
20130520,000300,2597.151,2627.616,2590.053,2609.607,86337803.0,94059415.836
20130521,000300,2607.393,2617.4,2594.249,2614.853,71505994.0,75837813.846
20130522,000300,2613.411,2630.068,2603.75,2618.034,74191817.0,78224126.421
20130523,000300,2604.93,2624.076,2579.347,2582.849,84825370.0,81359908.175
20130524,000300,2591.419,2608.35,2572.884,2597.228,60739669.0,62831235.051
20130528,000300,2600.632,2644.359,2585.901,2644.359,84196112.0,86756736.777
20130529,000300,2648.927,2661.229,2640.881,2642.561,79277709.0,81953853.231
20130530,000300,2633.955,2647.443,2623.581,2634.323,70146368.0,71045065.872
20130531,000300,2638.71,2645.565,2604.746,2606.426,62528533.0,65904433.688
20130605,000300,2565.329,2570.027,2545.19,2560.539,45637193.0,47367057.838
20130606,000300,2552.817,2557.678,2525.306,2527.845,52496529.0,54448113.429
20130607,000300,2526.913,2538.891,2475.687,2484.16,61030894.0,61366173.745
20130613,000300,2448.717,2448.717,2375.204,2399.937,69730066.0,64081598.112
20130614,000300,2404.423,2420.356,2396.487,2416.771,55964534.0,53686779.328
20130618,000300,2413.088,2424.202,2393.321,2418.745,48630379.0,48792090.467
20130619,000300,2408.28,2408.28,2366.346,2400.765,54346260.0,52979991.053
20130621,000300,2283.151,2332.842,2269.565,2317.394,58705798.0,53486132.98
20130624,000300,2308.069,2308.069,2164.325,2171.21,86597259.0,73731930.536
20130625,000300,2146.053,2169.211,2023.171,2165.421,107554882.0,87090393.952
20130626,000300,2170.326,2181.021,2131.86,2168.297,79256426.0,67298430.249
20130627,000300,2172.848,2200.213,2153.175,2160.735,75406753.0,62927082.416
20130628,000300,2149.03,2227.461,2139.372,2200.639,79451327.0,64106048.718
20130701,000300,2187.092,2213.965,2166.353,2213.317,57726227.0,51874735.216
20130702,000300,2211.803,2226.113,2191.801,2221.984,61838850.0,59632902.046
20130703,000300,2211.044,2211.044,2169.137,2203.828,65836022.0,59536760.19
20130704,000300,2187.181,2245.908,2176.08,2221.979,72581145.0,67189379.203
20130705,000300,2227.35,2252.033,2225.047,2226.849,61821775.0,58424400.611
20130708,000300,2194.423,2205.214,2162.189,2163.619,54782493.0,49288252.039
20130709,000300,2160.699,2174.786,2149.787,2162.669,41494433.0,37246189.87
20130710,000300,2163.098,2224.135,2157.468,2224.065,61149781.0,54373757.823
20130711,000300,2232.157,2351.223,2232.157,2326.688,125793192.0,111329812.773
20130712,000300,2319.023,2331.986,2274.073,2275.373,89733082.0,82064555.657
20130715,000300,2289.762,2336.04,2274.673,2307.297,74757884.0,71796189.674
